league,season,rows,columns,status
Argentina Liga Profesional,2026,0,0,failed
Argentina Copa de la Liga Profesional,2024,0,0,failed
Argentina Primera Nacional,2026,0,0,failed
Brasileirão Série A,2026,0,0,failed
Chile Primera Division,2026,0,0,failed
Colombia Primera A Apertura,2026,0,0,failed
Colombia Primera A Clausura,2025,0,0,failed
Mexico LigaMX Apertura,2025,0,0,failed
Mexico LigaMX Clausura,2026,0,0,failed
Peru Liga 1,2026,0,0,failed
La Liga,25/26,0,0,failed
MLS,2026,0,0,failed
Saudi Pro League,25/26,0,0,failed
J1 League,2026,0,0,failed
USL Championship,2026,0,0,failed
La Liga 2,25/26,0,0,failed
Primera RFEF,25/26,0,0,failed
