league,season
Argentina Liga Profesional,08/09
Argentina Liga Profesional,09/10
Argentina Liga Profesional,10/11
Argentina Liga Profesional,11/12
Argentina Liga Profesional,12/13
Argentina Liga Profesional,13/14
Argentina Liga Profesional,2014
Argentina Liga Profesional,2015
Argentina Liga Profesional,2016
Argentina Liga Profesional,16/17
Argentina Liga Profesional,17/18
Argentina Liga Profesional,18/19
Argentina Liga Profesional,19/20
Argentina Liga Profesional,2021
Argentina Liga Profesional,2022
Argentina Liga Profesional,2023
Argentina Liga Profesional,2024
Argentina Liga Profesional,2025-Apertura
Argentina Liga Profesional,2025-Clausura
Argentina Liga Profesional,2026
Argentina Copa de la Liga Profesional,2019
Argentina Copa de la Liga Profesional,2020
Argentina Copa de la Liga Profesional,2021
Argentina Copa de la Liga Profesional,2022
Argentina Copa de la Liga Profesional,2023
Argentina Copa de la Liga Profesional,2024
Argentina Primera Nacional,2023
Argentina Primera Nacional,2024
Argentina Primera Nacional,2025
Argentina Primera Nacional,2026
Brasileirão Série A,20/21
Brasileirão Série A,2021
Brasileirão Série A,2022
Brasileirão Série A,2023
Brasileirão Série A,2024
Brasileirão Série A,2025
Brasileirão Série A,2026
Chile Primera Division,2023
Chile Primera Division,2024
Chile Primera Division,2025
Chile Primera Division,2026
Colombia Primera A Apertura,2022
Colombia Primera A Apertura,2023
Colombia Primera A Apertura,2024
Colombia Primera A Apertura,2025
Colombia Primera A Apertura,2026
Colombia Primera A Clausura,2022
Colombia Primera A Clausura,2023
Colombia Primera A Clausura,2024
Colombia Primera A Clausura,2025
Mexico LigaMX Apertura,2022
Mexico LigaMX Apertura,2023
Mexico LigaMX Apertura,2024
Mexico LigaMX Apertura,2025
Mexico LigaMX Clausura,2022
Mexico LigaMX Clausura,2023
Mexico LigaMX Clausura,2024
Mexico LigaMX Clausura,2025
Mexico LigaMX Clausura,2026
Peru Liga 1,2022
Peru Liga 1,2023
Peru Liga 1,2024
Peru Liga 1,2025
Peru Liga 1,2026
La Liga,15/16
La Liga,16/17
La Liga,17/18
La Liga,18/19
La Liga,19/20
La Liga,20/21
La Liga,21/22
La Liga,22/23
La Liga,23/24
La Liga,24/25
La Liga,25/26
MLS,2021
MLS,2022
MLS,2023
MLS,2024
MLS,2025
MLS,2026
Saudi Pro League,20/21
Saudi Pro League,21/22
Saudi Pro League,22/23
Saudi Pro League,23/24
Saudi Pro League,24/25
Saudi Pro League,25/26
J1 League,2021
J1 League,2022
J1 League,2023
J1 League,2024
J1 League,2025
J1 League,2026
USL Championship,2021
USL Championship,2022
USL Championship,2023
USL Championship,2024
USL Championship,2025
USL Championship,2026
La Liga 2,20/21
La Liga 2,21/22
La Liga 2,22/23
La Liga 2,23/24
La Liga 2,24/25
La Liga 2,25/26
Primera RFEF,24/25
Primera RFEF,25/26
